ID	Kanton (Canton)	Ort (city)	Name (institution)	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Zweck 1933 (Quelle); purpose of the institution according to the source 1933 (Wild Albert)"	"Zweck 1939 (Quelle)
Z=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1939"	"Zweck/Spezifikation Pro Juventute 1944; purpose of the institution according to the source 1944"	"Zweck 1945 (Quelle)
ZH=Zuchthaus, G=Gefängnis, H=Haft, V=Verwahrung für Gewohnheitsverbrecher, A=Arbeitserziehungsanstalt, T=Trinkerheilanstalt); purpose of the institution according to the source 1945"	"Zweck 1954 (Quelle); purpose of the instititution according to the source 1954 (Schwarz Martin)"	"Trägerschaft (agencies, funded bodies): Staatlich (governmental) = 1; Privat (privately funded) = 2; gemischt (public-private mix) = 3; unbestimmbar (not specified) = 4"	Trägerschaft (agencies according to) Wild 1933	Trägerschaft (agencies according to) Pro Juventute 1944	Trägerschaft (agencies according to) Schwarz 1954	"Platzzahl (capacities): unter (below) 19 = 1; 20-49 = 2; 50-99 = 3; 100-149 = 4; 150-199 = 5; über (over) 200 = 6; unbestimmt (not specified) = 7"	Platzzahl (capacieties according to source) 1933 (Quelle) 	Platzzahl (capacities according to source) 1939 (Quelle)	Platzzahl (capacities according to source) Pro Juventute 1944 (Quelle)	Platzzahl (capacities according to source) 1945 (Quelle) 	Platzzahl (capacities according to source) 1954 (Quelle) 	"Geschlecht Insassen (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified)= 4"	Geschlecht (gender ratio according to source) Wild 1933	Geschlecht (gender ratio according to source) 1939 (Quelle)	Geschlecht (gender ratio according to source) 1945 Quelle	Geschlecht  (gender ratio according to source) Pro Juventute 1944	Geschlecht (gender ratio according to source) Schwarz 1954	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik (interdenominational) = 3, unbestimmbar (not specified) = 4"	Konfession (denomination according to source) Wild 1933	Konfession (denomination according to source) Pro Juventute 1944	Konfession (denomination according to source) Schwarz 1954												
GR01-a	Graubünden	Cazis	Arbeitserziehungsanstalt und Kolonie Realta	1	2	3		"Korrektionsanstalt: 1854 eröffnete Anstalt zur Besserung Korrektioneller. Steht unter Aufsicht des Kleinen Rates, respektive dessen Finanzdepartementes. 2 Anstaltsgebäude mit Raum für 60–70 Zöglinge, die in der eigenen Land- und Waldwirtschaft betätigt werden. Von den Detinierten sind meistens 90% Männer, 10% Weiber. (…) In der Korrektionsanstalt werden aufgenommen, sofern sie erwachsen und arbeitsfähig sind: a) liederliche und arbeitsscheue Personen; b) Gewohnheitstrinker; c) Personen, die nach Polizei- oder Strafgesetz zur korrektionellen Behandlung überwiesen werden. Die Befugnisse zur Versetzung steht der Vormundschaftsbehörde des Heimat- oder Wohnortes, sowie den Kriminal- und Polizeigerichten zu. Dem an den Chef des kantonalen Finanzdepartements zu richtenden Aufnahmegesuch muss ein Auszug des Protokolls der die Versetzung beschliessenden Behörde beigelegt werden.
Arbeiterkolonie: Aufnahme findet jede arbeitslose, aber arbeitsfähige und arbeitswillige Person, soweit der Raum reicht. In erster Linie sind Kantonsbürger zu berücksichtigen.  Sie dient auch mit Vorteil jener Kategorie Menschen, die einer gewissen Aufsicht oder doch Anleitung bedürfen, um sich im Leben zurecht zu finden und die bei völliger Freiheit dem Vagantentum oder dem Alkoholismus verfallen würden. Auch zur Korrektion Verurteilte werden aufgenommen, denen dann bei guter Führung in der Kolonie die Korrektionsstrafe erlassen wird.
"	A			"a) Arbeitserziehungsanstalt;
b) Kolonie für Lebensuntüchtige"	1			1	4	130 (Korrektionsanstalt und Arbeiterkolonie)				90	vgl. Jahresbericht						3	3		3												
GR01-b	Graubünden	Cazis	Irrenanstalt Realta/Trinkerheilstätte im kantonalen Asyl Realta	4	6			"4 Krankenhäuser mit Platz für 250 Patienten.
Keine besondere Trinkerabteilung. Die Patienten werden, je nachdem die geistigen oder körperlichen Symptome vorwiegen, auf die entsprechende Abteilung des Asyls verbracht und dann der Arbeiterkolonie, wo sie ihren Unterhalt selbst verdienen, oder der Korrektionsabteilung zugewiesen. In die Heilstätte werden aufgenommen: 1. freiwillig sich Meldende, die sich zu einem Aufenthalt von mindestens 1 Jahr verpflichten; 2. von Behörden und Gerichten Eingewiesene, deren Aufenthaltsdauer, im Minimum 1 Jahr, die einweisenden Behörden bestimmen. Einweisung in die Trinkerheilstätte gemäss den Bestimmungen der Korrektionsanstalt."					1					>250					vgl. Jahresbericht						3															
GR03	Graubünden	Chur	Kantonale Strafanstalt Sennhof	5					Z, G, H, ev. V		ZH, G	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 3 Monaten"	1			1	2		50		50	35	3					3	3			3												
GR04	Graubünden	Landquart	Asyl Neugut Landquart	7				Gegründet 1894 als Armenanstalt von 9 Gemeinden des Bezirks Unterlandquart, zu denen später noch 2 Gemeinden hinzukamen. Anstaltsgebäude für 80 Personen, die in der Landwirtschaft beschäftigt werden.					3				3	80					3	3					4	1														
LU01	Luzern	Emmenbrücke	"Anstalt Sedelhof mit Frauenabteilung ""Seehof"""	1	5			"Für männliche Detinierte mit Zweiganstalt (seit 1893) für Weiber auf dem Gute Seehof, die der Anstaltsverwaltung auf dem Sedelhof unterstellt ist. Staatsanstalt, gegründet 1887, unter der Justizdirektion stehend und durch eine Aufsichtskommission überwacht. Nach §3 des Gesetzes können in die Anstalt bei unzweifelhafter Arbeitsfähigkeit versetzt werden: a) bevormundete oder der elterlichen Gewalt unterworfene Personen, welche den Weisungen ihrer Eltern, Vormünder und Aufsichtsbehörden trotz angewandter Disziplinarmittel beharrlich sich widersetzen; b) Eltern, welche ihre Kinder böslich verlassen oder sie durch müssiges, leichtsinniges, liederliches Leben in hilflosen Zustand versetzen und dadurch der Fürsorge der unterstützungspflichtigen Verwandten, der Gemeinde, oder des Staates anheimgeben oder, wiewohl eine angemessene Beitragsleistung an die Unterstützungskosten in ihren Kräften läge, solche hartnäckig verweigern; c) Eltern oder Pflegeeltern, welche ihre Pflichten gegen ihre Kinder oder andere unter ihrer Aufsicht stehenden Personen in fortgesetzter Weise und nach fruchtloser Mahnung nicht erfüllen, diese vernachlässigen, zu Diebstahl, Frevel oder zum Bettel anhalten oder davon abzuhalten unterlassen und dadurch am Schulbesuch e hindern; d) Personen, welche sich fortgesetzt dem Müssiggange, der Trunkenheit oder auf andere Art einem liederlichen Lebenswandel ergeben und infolgedessen arbeitslos und unterstützungsbedürftig werden oder öffentliches Ärgernis erregen; e) Personen, welche nach Massgabe des Straf- oder Armengesetzes oder anderer Vorschriften dem Regierungsrate zu weiterer Behandlung zugewiesen werden; f) endlich gewerbsmässige Bettler, sowie Landstreicher, welche der öffentlichen Wohltätigkeit zur Last fallen oder ihr anheimzufallen drohen, sofern der Anstaltsraum deren Aufnahme gestattet.
Zweiganstalt Seehof: Nur für Frauen. (1953 geschlossen)."	H, G, A		A, G bis 6 Mte.	"Gefängnis;
Zuchthaus;
administrative Versorgung;
Verwahrung nach Art. 42 StGB (Ausnahmen);
Verwahrung Unzurechenfähiger nach Art. 14 StGB."	1			4	4	140 (100 Zwangsarbeitsanstalt + 40 Zweiganstalt Seehof)	96		109	100	3	3 (inkl. Frauenabteilung Seehof)				1	3			3												
LU02	Luzern	Wauwil	Straf- und Verwahrungsanstalt Wauwilermoss	5					Z, G		ZH, G über 6 Mt.	"Gefängnis;
Zuchthaus;
Verwahrung"	1			1	3				90	68	3			3		1	3			3												
LU03	Luzern	Rathausen	Kinderdörfli Rathausen	3								"Erziehung gefährdeter und milieugeschädigter Kinder und Jugendlicher;
Vom Kanton und verschiedenen Behörden benutzte Anstalt für die Internierung Jugendlicher beiderlei Geschlechts nach StGB."	2			2	5					150	3					3	2			2												
LU04	Luzern	Knutwil	Erziehungsheim St. Georg	3				Fürsorgeerziehung und Bildung schwererziehbarer, sittlich gefährdeter oder abwegig gewordener Knaben im Alter von 12-18 Jahren.		von 10 Jahren an		"Nacherziehung schwererziehbarer Knaben und männlicher Jugendlicher;
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von männlichen Jugendlichen nach StGB"	2		St. Georgsverein	2	4	90		ca. 120		120	1	1			1	1	2	2	2	2												
LU05	Luzern	Pfaffnau	Kantonale Heil- und Pflegeanstalt St. Urban	6				Behandlung und Pflege Geistes- und Nervenkranker. 1873 in den Gebäuden der aufgehobenen Abtei eingerichtet.				"Heil- und Pflegeanstalt;
Vom Kanton benützte Anstalt für die Internierung von Unzurechenfähigen nach Art. 14/15 StGB;
Angeschlossen: Übergangsheim Berghof"	1			1	6	600				700	3					3	3	2		3												
LU09	Luzern	Luzern	Zentralgefängnis des Kantons Luzern	5					H, G		UH, H, G bis 3 W.	"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen;
c) Zuchthaus (Ausnahmefälle)"	1			1	3		80		53	54	3			3		3	3			3												
LU10	Luzern	Hochdorf	Amtsgefängnis Hochdorf	5					H, G		UH, H, G bis 3 W.	"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen bis zu 20 Tagen"	1			1	1					12	3					3	3			3												
LU11	Luzern	Schüpfheim	Amtsgefängnis Entlebuch	5					H, G		UH, H, G bis 3 W.	"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen von kurzer Dauer"	1			1	1					9	3					3	3			3												
LU12	Luzern	Sursee	Amtsgefängnis Sursee	5					H, G		UH, H, G bis 3 W.	"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen bis zu 20 Tagen"	1			1	1					12	3					3	3			3												
LU13	Luzern	Willisau	Amtsgefängnis Willisau	5					H, G		UH, H, G bis 3 W.	"a) Untersuchungsgefängnis;
b) Polizei-, Haft- und Gefängnisstrafen von kurzer Dauer"	1			1	7						3					3	3			3												
NE01	Neuenburg	St. Aubin	Colonie agricole et industrielle Le Devens	2	4			Fondée en 1909 comme colonie agricole. Remise au Conseil d'Etat de Neuchâtel, qui en est propriétaire. La Loi sur l'internement administratif des buveurs ayant été votée, le Conseil d'Etat décida en 1919 que Le Devens serait affecté au relèvement des buveurs et confié à l'Armée du Salut. C'est en général la Chambre des Tutelles qui requiert l'internement des buveurs, et le Département de Justice sanctionne et exécute la sentence. La durée de l'internement varie de six mois à douze mois. S'il y a des places disponibles, la Maison reçoit aussi des internés genevois, des buveurs d'autres Cantons, et des hommes placés par les soins des Communes. Il est perçu une modeste pension.				Heilstätte für Alkoholkranke	4	1		2	3	50				50	1 (vgl. Schätzungsband NE)						4	1		3												
NE02	Neuenburg	Boudry	Maison de Pontareuse	4								Heilstätte für Alkoholkranke	2	2		2	2	23				22	1					1	1	1		interkonfessionell, Leitung reformiert												
NE03	Neuenburg	Marin	Institut Bellevue	3				Refaire ou compléter l'éducation de jeunes filles.		16–20 Jahre		Nacherziehung weiblicher Jugendlicher	2		Schwizerischer Verein für Straf- und Gefängniswesen und Schutzaufsicht	2	2	30		30		30	2				2	2	4		1	3												
NE04	Neuenburg	La Chaux-de-fonds	Prison Centrale de  La Chaux-de-fonds	5							H bis 2 Mte., G bis 2 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 2 Monaten"	1				2					40	3					3	3			3												
NE05	Neuenburg	Neuenburg	Prison Centrale de Neuchâtel	5							H bis 2 Mte., G bis 2 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 2 Monaten"	1			1	2					40	3					3	3			3												
NE06	Neuenburg	Boudry	Prison auxiliaire du district de Boudry	5					G, H		H bis 2 Mte., G bis 2 Mte.	"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	1			1	1					10	3					3	3			3												
NE07	Neuenburg	Cernier	Prison auxiliaire du district du Val-de-Ruz	5					G, H		H bis 2 Mte., G bis 2 Mte.	"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	1			1	1					4	3					3	3			3												
NE08	Neuenburg	Le Locle	Prison auxiliaire du district du Locle	5					G, H		H bis 2 Mte., G bis 2 Mte.	"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	1			1	1					10	3					3	3			3												
NE09	Neuenburg	Môtiers	Prison auxiliaire du district du Val-de-Travers	5					G, H		H bis 2 Mte., G bis 2 Mte.	"a) Untersuchungsgefangenschaft;
b) Vollzug von Haftstrafen bis zu 5 Tagen"	1			1	1					6	3					3	3			3												
NW01	Nidwalden	Hergiswil	"Fürsorgeheim ""Alpenblick"""	8				Katholische Entbindungsanstalt.		"40 Plätze (für Schwererziehbare zirka 20). Das Heim ist zugleich Entbindungsanstalt und Pflegerinnenschule; es sind zirka 60 Säuglinge dort.; Von 14 an bis jedes Alter"			2		Schweizerischer katholischer Fürsorgeverein		2	40		ca. 40			2	2			2		2	2	2													
OW01	Obwalden	Sarnen	Pension Vonderflüh	4				Gegr. 1896 durch den schweizer. Piusverein, jetzt Eigentum des Vereins der Trinkerheilstätte Pension Vonderflüh, unter dem Patronat des Schweizer. Kath. Volksvereins. Heilstätte für alkoholkranke Männer, wo sie geistig und leiblich wieder genesen können.					2	2			2	40					1	1					2	2														
OW02	Obwalden	Sarnen	Kantonale Strafanstalt Obwalden	5					G, H		G, H, V	"a) Untersuchungsgefängnis;
b) Vollzug von Polizei-, Haft- und Gefängnisstrafen, Zuchthaus, Verwahrung.
Die Strafanstalt Obwalden in Sarnen beherbergt die Untersuchungsgefangenen und die gerichtlich Verurteilten aller Kategorien. Die Anstalt dient auch als Verwahrungsanstalt und für administrative Versorgungen. Arbeitsscheue und Flottanten werden von den Gemeinden oft für längere oder kürzere Zeit dort interniert, für die dann die Strafanstalt als ""Zwangsarbeitsanstalt"" zu dienen hat. Die von auswärts heimgeschafften Kantonsbürger werden meistens ebenfalls in die Anstalt eingeliefert und bleiben dort solange, bis die avisierten Gemeindebehörden ihre Verfügungen getroffen haben."	1			1	2		20		20	35	3					3	3			3												
Quellen:																																												
SG01	St. Gallen	Mosnang	Kantonale Arbeitserziehungsanstalt Bitzi	1				"Gegründet 1871 durch eine Anzahl toggenburgischer Gemeinden und die Städte St. Gallen und Wil; mit 1. Januar 1904 an den Staat übergegangen. Oberste Verwaltungsbehörde: Regierungsrat, speziell Polizeidepartement. (…) Über die Aufnahme in die Anstalt, Dauer der Detention, Erkenntnis derselben etc. gelten die Bestimmungen des Gesetzes über die Versorgung arbeitsscheuer und liederlicher Personen in Zwangsarbeitsanstalten vom 4. Juni 1872 und die Vollziehungsverordnung vom 21. August gleichen Jahres."	A			"Arbeitserziehungsanstalt;
Beherbergt auch administrativ Eingewiesene, wie Arbeitsscheue;
Getrennte Abteilungen:
a) Beobachtungsstation für 18 bis 20-jährige;
b) Anstalt für Zwangsversorgte;
c) Alpbetrieb für Gebesserte"	1			1	3	70				80	3					1	3			3												
SG02	St. Gallen	Tübach	Pension Mühlhof	4				"Gegründet 1930 durch den Fürsorgeverein für Alkoholkranke. Heilstätte für alkoholkranke Männer. Zur Aufnahme in die Heilstätte werden verlangt: ärztliches Zeugnis, Heimatausweis; behördlicher Einweisungsbeschluss oder schriftliche Verpflichtung des Aufzunehmenden für eine Kurzeit von mindestens 12 Monaten; Vorausbezahlung des Kostgeldes durch ausserkantonale Armenpflegen und Selbstzahler für wenigstens 6 Monate, durch st. gallische Armenpflegen für 3 Monate."	T			"Heilstätte für alkoholkranke Männer;
Von verschiedenen Kantonen benutzte Anstalt für die Verwahrung von Gewohnheitstrinkern nach Art. 44 StGB."	2	2		2	2	30				45	1					1	4	2		3												
SG03	St. Gallen	Altstätten	Fürsorge- und Erziehungsheim Vom Guten Hirten	3				Aufnahme gefährdeter und gefallener Mädchen.		"Fürsorge- und Erziehungsheim; 14–30 Jahre"		"Nacherziehung weiblicher Jugendlicher;
Vom Kanton benutzte Anstalt für die Internierung von weiblichen Jugendlichen nach StGB."	2		Kloster der Frau von der Liebe des Guten Hiretn (Sitz in Frankreich)	2	5	230		"220 (2 Abteilungen: eine für ""Zöglinge"": Milieugeschädigte, sittlich Gefährdete, eine für ""Schützlinge"": Sittlich Verwahrloste und Straffällige)"		86	2				2	2	2	2	2	2												
SG04	St. Gallen	Oberbüren	Knabenerziehungsheim Thurhof	3						bis 16 Jahre		"Erziehungsanstalt für Knaben und männliche Jugendliche;
Gelegentlich benutzte Anstalt für die Internierung männlicher Jugendlicher nach StGB."	2		katholischer Konfessionsteil des Kantons St. Gallen		3			50		45	1				1	1	2	 	2	2												
SG05	St. Gallen	Oberuzwil	St. Gallisches Erziehungsheim Platanenhof	3				Erziehung von schwererziehbaren Knaben und Zuführung zum Beruf.		8–18 Jahre		"Erziehung und Nacherziehung von Jugendlichen;
Vom Kanton benutzte Anstalt für die Versorgung von Jugendlichen nach StGB."	2		Gemeinnützige Gesellschaft	3	3	60		60		60	1				1	3	3	3	3	3												
SG06	St. Gallen	Salez	Kolonie Saxerriet	5				Gegründet 1924 durch den Kanton St. Gallen zur Verwahrung von durch den Richter eingewiesenen Gewohnheitsverbrechern und administrativ zwangsversorgten arbeitsscheuen und liederlichen Personen gemäss dem Gesetz vom 19. November 1924.			siehe St. Jakob	"Gefängnis;
Zuchthaus;
Verwahrung;
Arbeitserziehung;
Zwangsarbeit;
Nicht getrennte Abteilungen"	1			1	4	80				130	1					1	3			3												
SG07	St. Gallen	St. Gallen	Kantonale Strafanstalt St. Gallen St. Jakob	5					Z, G, ev. V		ZH, G, V (inkl. Saxerriet)	"Gefängnis;
Zuchthaus;
Verwahrung;
administrative Versorgung"	1			1	4		240		293 (inkl. Saxerriet)	130	3			3		3	3			3												
SG08	St. Gallen	Lütisburg	St. Iddaheim	3				Erziehungsanstalt.		4–20 Jahre			2		Kommission		5	175		ca. 200			3	3			3		2	2	2													
SG09	St. Gallen	St. Gallen	Mädchenheim Wienerberg	3				Erziehung schutzbedürftiger Mädchen.		14.5–19.5 Jahre		"Nacherziehung evangelischer Töchter nach Art. 88–99 StGB;
Geschlossenes Heim: für alle Neueintritte Möglichkeit eine Haushalt-, Glätterinnen- oder Damenschneiderinnenlehre zu absolvieren;
Halboffenes Heim: Uebertritt je nach Verhalten im geschlossenen Heim. Möglichkeit zur Arbeit in der Stadt."	2		Fräulein Horber und Fräulein Freitag	2	3	58		2 Häuser mit 30, resp. 31 Plätzen		40	2				2	2	1	1	1	1												
SG10	St. Gallen	St. Gallen	Mädchenheim Waldburg	3				Nacherziehung gefährdeter Mädchen.		14–20 Jahre		"Erziehung von katholischen weiblichen Jugendlichen;
Vom Kanton benutzte Anstalt für Internierung im Sinne des Massnahmevollzugs."	2		Fürorge-Kommission	2	2	34		30		25	2				2	2	2	2	2	2												
SG11	St. Gallen	Bruggen-St. Gallen	Mädchenerziehungsheim Sonnenbühl	3				Nacherziehung gefährdeter Mädchen.		"Halbexternenheim; von 15 Jahren an"			2		Komitee		2	30		25–28			2	2			2		1	1	1													
SG14	St. Gallen	Wil	Kantonale Heil- und Pflegeanstalt Wil	6								"Heil- und Pflegeanstalt,
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach StGB und zur psychiatrischen Begutachtung von Straffälligen."	1			1	6					1100	3					3	3			3												
SG15	St. Gallen	Pfäfers	Heil- und Pflegeanstalt St. Pirminsberg	6				Samt dazu gehörender Alpkolonie St. Margrethenberg. Gegündet 1847.				"Heil- und Pflegeanstalt,
Von verschiedenen Kantonen benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB."	1			1	6	320				340	3					3	3	3		3												
SG16	St. Gallen	St. Gallen	Arbeits- und Armenanstalt für Männer im Kappelhof, Kronbühl	1	7			Anstalt zur Unterbringung von Bürgern, die nach den Bestimmungen des Gesetzes über das Armenwesen versorgt werden müssen. Beschäftigung in Haus und Landwirtschaft. Arbeitsfürsorge, Arbeitserziehungsanstalten (Korrektionsanstalten).					4				2	49					1	1					4	k.A.														
SG17	St. Gallen	Altstätten	Bezirksgefängnis Oberrheintal	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					8	3					3	3			3												
SG18	St. Gallen	Bazenheid	Bezirksgefängnis Alttoggenburg	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					2	3					3	3			3												
SG19	St. Gallen	Benken	Bezirksgefängnis Gaster	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					4	3					3	3			3												
SG20	St. Gallen	Buchs	Bezirksgefängnis Werdenberg	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					12	3					3	3			3												
SG21	St. Gallen	Flawil	Bezirksgefängnis Untertoggenburg	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					11	3					3	3			3												
SG22	St. Gallen	Flums	Bezirksgefängnis Sargans	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					8	3					3	3			3												
SG23	St. Gallen	Gossau	Bezirksgefängnis Gossau	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					5	3					3	3			3												
SG24	St. Gallen	Lichtensteig	Bezirksgefängnis Neutoggenburg	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					6	3					3	3			3												
SG25	St. Gallen	Nesslau	Bezirksgefängnis Obertoggenburg	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					4	3					3	3			3												
SG26	St. Gallen	Rheineck	Bezirksgefängnis Unterrheintal	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					8	3					3	3			3												
SG27	St. Gallen	Rorschach	Bezirksgefängnis Rorschach	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					13	3					3	3			3												
SG28	St. Gallen	St. Gallen	Bezirksgefängnis St. Gallen	5					G, H		G, H	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	2					25	3					3	3			3												
SG29	St. Gallen	Uznach	Bezirksgefängnis See	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					6	3					3	3			3												
SG31	St. Gallen	Wil	Bezirksgefängnis Wil	5					G, H		G, H	"a) Untersuchungsgefängnis für korrektionelle Verfahren;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					7	3					3	3			3												
SG32	St. Gallen	St. Gallen	Kriminalgefängnis St. Gallen	5								"a) Untersuchungsgefängnis für Kriminalstrafsachen und Strafsachen, die an das Kantonsgericht geleitet werden;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 1 Monat"	1			1	1					19	3					3	3			3												
SH01	Schaffhausen	Schaffhausen	Kantonales Gefängnis Schaffhausen	5					G, H		H, G bis 6 Mte.	"a) Untersuchungsgefängnis;
b) Vollzug von Gefängnisstrafen bis zu 3 Monaten"	1			1	3				16	50	3					3	3			3												
SO01	Solothurn	Deitingen	Zwangsarbeitsanstalt Schachen	1	5			"Zwangsarbeitsanstalt Schachen: Staatsanstalt. Neben dem Hauptbetrieb Schachen besitzt die Anstalt zwei Filialbetriebe. (…) Gründe der Einbringung: Arbeitsscheu, Trunksucht, liederliches Leben, Gemeindebelästigung und Famlienvernachlässigung. Der Antrag zur Einbringung in die Anstalt wird gestellt durch: Gemeindebehörden, Familienangehörige, Polizeiorgane. Administrative Verurteilungen durch Regierungsratsbeschluss im Minimum für 6 Monate, für Rückfällige bis 24 Monate.
Steinbruch in Gänsebrunnen: Zwangsarbeit im Steinbruch. (…) Bei der Ausbeutung des gepachteten Steinbruchs werden unter zwei Aufsehern 18-20 Insassen beschäftigt. In der Nähe des Areals Wohnbaracke mit Küche.
Frauenabteilung."	Z, H, A		G (Frauen), ZH (Frauen), V, A	"Männer: Arbeitserziehung, gerichtliche Verwahrung, administrative Versorgungen;
Frauen: Gefängnis, Zuchthaus, gerichtliche Verwahrung, administrative Versorgung;
Getrennte Abteilungen: 
Verwahrung: In Filiale Malsenhof bei Welschenrohr;
Arbeitserziehung, Versorgung: im Schachen;
Weibliche Jugendliche: Internierung hauptsächlich in der Zwangsarbeitsanstalt Schachen, Abteilung für Frauen, Deitingen;
Frauen: Abteilung für Frauen im Schachen"	1			1	4	120 (80 Zwangsarbeitsanstalt + 20 Frauenabteilung + 20 Steinbruch)			105	95	3					3	3			3												
SO02	Solothurn	Solothurn	Strafanstalt Oberschöngrün	5					G, H		G	"Gefängnis;
Zuchthaus;
gerichtliche Verwahrung für nicht fluchtgefährliche Gefangene;
keine getrennten Abteilungen für die verschiedenen Kategorien"	1			1	3		65		55	70	1		1			1	3			3												
SO03	Solothurn	Solothurn	St. Theresiahaus Solothurn	3				Fürsorgeerziehung Gefährdeter.		14–22 Jahre		"Heim für berufliche Ausbildung für katholische schulentlassene Töchter;
Vom Kanton benutzte Anstalt für Massnahmenvollzug im Sinne von Art. 84, 90 und 91 StGB;
In Verbindung mit Waldhöfli, Heim zur Ausbildung von bäuerlichen Hausgehilfinnen, in Rüttenen SO"	2		Seraphisches Liebeswerk	2	2			34		28	2				2	2	2	2	2	2												
SO04	Solothurn	Balsthal	Bezirksgefängnis Balsthal	5					G, H		H, G bis 7 Tage	"a) Untersuchungsgefängnis;
b) Vollzug von Haft- und Gefängnisstrafen bis zu 8 Tagen"	1			1	1					12	3					3	3			3												
SO05	Solothurn	Breitenbach	Bezirksgefängnis Breitenbach	5					G, H		H, G bis 7 Tage	"a) Untersuchungsgefängnis;
b) Anstalt für Verbüssung von Militärarresten;
c) Vollzug von Haft- und Gefängnisstrafen bis zu 8 Tagen"	1			1	1					9	3					3	3			3												
