ID	Kanton (Canton)	Ort (city)	Anstalt (institution)	aufgeführte, alternative Bezeichnungen (alternative notations)	"Anstaltszweck (Quelle)
(purpos of the institution according to the source)"	"Anstaltstypen: Arbeitsanstalt = 1; Arbeiterkolonie = 2; Erziehungsanstalt = 3; Trinkerheilanstalt = 4; Strafanstalt = 5; Psychiatrische Einrichtung = 6; Armenhaus = 7; Sonderanstalt = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	"Types of institutions: forced labour institution (restricted) = 1; forced labour institution (semi-open) = 2; educational institution = 3; asylum for alcoholics = 4; prison = 5; psychiatric facility = 6; poor house = 7; institution for people with special needs = 8"	Offenheit Code	DummyOffen	DummyHalboffen	DummyGeschlossen	Spezifikation Typologie (Quelle) (categories according to source)	Trägerschaft (agencies, funding bodies)	Spezifikation Inhaber (Quelle) (specifications of the agencies according to source)	Platzzahl (Quelle) (capacities according to source)	Platz (capacities)	Plätze Männer (Quelle) (capacities for the male gender according to source)	Plätze Frauen (Quelle) (capacities for the female gender according to the source)	"Geschlecht (gender ratio): m (male) = 1; w (female) = 2; gemischt (both gender) = 3; unbestimmt (not specified) = 4"	Bemerkungen Plätze (Quelle)	DummyMänner	DummyFrauen	Aufenthaltsbedingungen (Quelle) (terms of detention e.g. duration of stay/juridic coverage according to source)	Einweisende Behörden: 1 = Gerichte, 2 = Untersuchungsrichter, 3 = Staatsanwaltschaft, 4 = Jugendanwaltschaft, 5 = Regierungsrat, 6 = Administrativbehörde, 7 = Justizbehörde/Strafvollzugsbehörde, 8 = Polizeibehörde/Verhöramt, 9 = Armenbehörde/Fürsorgebehörde, 10 = Vormundschaftsbehörde, 11 = Bezirksämter/Statthalteramt, 12 = Amtsvormundschaft, 13 = Jugendämter, 14 = Private/Vereine/Kirchen- und Schulbehörden	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	committing agencies: 1 = courts of justice, 2 = coroner, 3 = prosecutor, 4 = youth advocacy, 5 = senior civil servants, 6 = administrative agency, 7 = legal authority, 8 = police authority, 9 = social authority, 10 = guardianship authority, 11 = district authorities, 12 = legal guardians, 13 = youth welfare services, 14 = associations	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Einweisende (commiting agencies according to source)	Konfession (Quelle) (denomination according to source)	"Konfession (denomination): prot. (Protestants) = 1; kath. (Catholics) = 2; ik. (interdenominational) = 3; unbestimmt (not specified) = 4"	Seelsorge (Quelle) (pastoral care according to source)	Gottesdienste (church services according to source)
BE38	BE	Trachselwald	Bezirksgefängnis Trachselwald		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	"Auf Wunsch reformierter Ortspfarrer;
kein katholischer Pfarrer"	Keine Gottesdienstmöglichkeit
BE39	BE	Wangen an der Aare	Bezirksgefängnis Wangen an der Aare		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		12	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Solothurn	Keine Gottesdienstmöglichkeit
BE40	BE	Wimmis	Bezirksgefängnis Niedersimmental		"Untersuchungsgefängnis;
Polizeigefängnis;
Vollzug von Haft- und Gefängnisstrafen bis maximal 30 Tagen, in Einzelfällen bis maximal 3 Monate"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		5	1			3	Männer und Frauen	1	1	"Untersuchungshaft: ohne Limite, nach Verfahren;
Strafvollzug: maximal 30 Tage, in einzelnen Fällen 3 Monate"	1	8	11				Polizei	Bezirksamt	Bezirksgericht	Statthalteramt										Interkonfessionell	3	Auf Wunsch reformierter Ortspfarrer und katholischer Pfarrer aus Spiez	Keine Gottesdienstmöglichkeit
BE41	BE	Bern	Evangelisches Mädchenheim Brunnadern		Nacherziehung und berufliche Ausbildung weiblicher Jugendlicher	3				#REF!	0	1	0	Private, halboffene Anstalt	2	Verein Evangelisches Mädchenheim Brunnadern, Bern	30	2		30	2	davon 6 im Sinne des StGB belegbar	0	1	"Minimal 2 Jahre;
Aufnahmealter minimal 15 Jahre, maximal 21 Jahre;
Internierte nach StGB werden von den andern Insassinnen nicht getrennt gehalten."	4	12					Jugendanwaltschaft	Amtsvormundschaften												Reformiert	1	Pfarrer der Evangelischen Gesellschaft Bern	"Im Heim, Besuch freiwillig;
alle 14 Tage;
ausserdem Besuch der reformierten Stadtgottesdienste und der Gottesdienste der Evangelischen Gesellschaft."
BE43	BE	Bellelay	Asile d'aliénés de Bellelay		"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB und zur Begutachtung von Straffälligen."	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		420	6	200	220	3		1	1	"Nach ärztlicher, resp. Behördlicher Vorschrift;
Internierte nach StGB werden von den andern Patienten nicht getrennt gehalten."	2	7	8				Untersuchungsrichterämter	Strafvollzugsbehörden	Polizeidirektion des Kantons Bern											Interkonfessionell	3	"Reformierter Pfarrer aus Tavennes (deutsch, franz.);
reformierter Hilfspfarrer aus Tavennes (franz.);
reformierter Pfarrer der deutschen reformierten Kirchgemeinde von Tavennes (deutsch);
katholischer Pfarrer aus Tavennes (deutsch, franz.)"	"Im Hause, Besuch freiwillig;
Reformierte: 2 mal monatlich in französischer und 1 mal monatlich in deutscher Sprache;
Katholiken: 2 mal monatlich;
ausserdem für beide Konfessionen Möglichkeit zum Besuch der Ortsgottesdienste"
BE44	BE	Wabern	Schweizerisches Erziehungsheim Bächtelen		"Nacherziehung männlicher Jugendlicher;
Vom Kanton benutzte Anstalt für die Internierung von Jugendlichen nach StGB."	3				#REF!	1	0	0	Private, offene Anstalt	2	Inhaber: Stifung der Schweizerischen Gemeinnützigen Gesellschaft	50	3	50		1		1	0	"Minimal 2 Jahre, maximal 5 Jahre;
Aufnahmealter minimal 15 Jahre, maximal 20 Jahre;
Internierte im Sinne des StGB werden von den andern Insassen nicht getrennt gehalten."	6	9	10				Kantonale Fürsorgedirektion Bern	Vormundschaftsbehörden	Gemeindebehörden											Reformiert	1	Reformierter Pfarrer aus Wabern im Nebenamt	"Besuch der Pfarrkirche in Wabern;
freiwillig;
jeden Sonntag"
BE45	BE	Münsingen	Heil- und Pflegeanstalt Münsingen		"Heil- und Pflegeanstalt;
Vom Kanton und verschiedenen Behörden benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach StGB."	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		1090	6	550	540	3	"Reformierte: ca. 1000;
Katholiken: ca. 100"	1	1	"Nach ärztlicher, resp. Behördlicher Vorschrift;
Insassen nach StGB werden von den andern Patienten nicht getrennt gehalten."	8						Polizeidirektion des Kantons Bern													Interkonfessionell	3	"Reformierter Anstaltspfarrer im Hauptamt;
katholischer Pfarrer aus Konolfingen im Nebenamt
"	"Im Hause, Besuch freiwillig;
Reformierte: alle 3 Wochen, ausserdem durch Heilsarmee;
Katholiken: 1 mal monatlich"
BE46	BE	Bern	Heil- und Pflegeanstalt Waldau		"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für Internierungen von Unzurechnungsfähigen nach Art. 14/15 StGB, sowie zur psychiatrischen Untersuchung von Straffälligen."	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		1100	6	550	550	3		1	1	"Nach ärztlicher, bzw. Behördlicher Vorschrift;
Internierte nach StGB werden von den andern Insassen nicht getrennt gehalten."	2	8					Untersuchungsrichter	Polizeidirektion des Kantons Bern												Interkonfessionell	3	"Reformierter Pfarrer aus Münsingen im Hauptamt;
katholischer Pfarrer aus Ostermundigen und Bern im Nebenamt;
Internierte nach StGB ausserdem durch die Heilsarmee"	"Im Hause, Besuch freiwillig;
Reformierte: jeden Sonntag;
Katholiken: keiner"
BE47	BE	Riggisberg	Mittelländische Verpflegungsanstalt		"Fürsorgeanstalt;
Von der Polizeidirektion Bern benutzte Anstalt für administrative Versorgungen."	1	7			#REF!	1	0	0	Halbstaatliche, offene Anstalt	3	Inhaber: 66 Gemeinden des Kantons Bern	550	6	225	225	3	ca. 5–10 nach StGB	1	1	"Nach Einweisungsverfügung;
Internierte nach StGB (ca. 5–10) werden von den andern Insassen nicht getrennt gehalten."																				Interkonfessionell	3	Reformierter Ortspfarrer und katholischer Pfarrer aus Thun, beide im Nebenamt	"Im Hause, Besuch freiwillig;
Reformierte: 1 mal monatlich;
Katholiken: 1 mal monatlich;
ausserdem für beide Konfessionen freiwilliger Besuch der Kirchen in der Umgebung"
BE48	BE	Meiringen	Heil- und Pflegeanstalt Meiringen		Heil- und Pflegeanstalt für Frauen	6				#REF!	0	0	1	Private, geschlossene Anstalt	2	Inhaber: Gebrüder Michel, Interlaken	200	5		200	2		0	1	"Nach ärztlicher, resp. Behördlicher Vorschrift;
Internierte nach StGB werden von den andern Insassinnen nicht getrennt gehalten."	10						Vormundschaften	Gemeindebehörden												Interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	"Im Hause, Besuch freiwillig;
Reformierte: 2 mal monatlich;
Katholiken: gelegentlich"
BE49	BE	Belp	Heimstätte Sonnegg		"Nacherziehung weiblicher Jugendlicher;
Von verschiedenen Behörden benutzte Anstalt für die Internierung von weiblichen Jugendlichen nach StGB."	3				#REF!	0	1	0	Private, halboffene Anstalt	2	Inhaber: Verein für kirchliche Liebestätigkeit Bern-Belp	22	2		22	2		0	1	"Maximal 2 Jahre;
Aufnahmealter minimal 14 Jahre;
Internierte nach StGB werden von den andern Insassinnen nicht getrennt gehalten."	4	10	11				Vormundschaftsbehörden	Jugendanwaltschaften verschiedener Kantone	Regierungsstatthalteramt Bern											Reformiert	1	Reformierter Pfarrer aus Gümligen im Nebenamt	Freiwilliger Besuch der Ortsgottesdienste jeden Sonntag
BE52	BE	Münsingen	Loryheim Münsingen		"Nacherziehung weiblicher Jugendlicher;
Obligatorischer Hauswirtschaftsunterricht mit Abschlussprüfung in Bern;
Möglichkeit, die Lehre einer Damenschneiderin oder Wäscheschneiderin zu absolvieren;
Vom Kanton benutzte Anstalt zur Internierung von weiblichen Jugendlichen nach StGB."	3				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		30	2		30	2		0	1	Mindestens 2 Jahre, bei Absolvierung einer Lehre 3 Jahre	4	7					Jugendanwaltschaften	Justizdirektionen Bern	Justizdirektion Basel-Stadt	Justizdirektion Graubünden	Justizdirektion Neuenburg	Justizdirektion Waadt	Justizdirektion Zürich							"Interkonfessionell;
Leitung reformiert"	3	Reformierter Ortspfarrer und katholischer Pfarrer aus Konolfingen im Nebenamt	"Reformierte: Ortsgottesdienst, Besuch obligatorisch, jeden Sonntag;
Katholiken: in der Heil- und Pflegeanstalt Münsingen, Besuch obligatorisch, 1 mal monatlich;
ausserdem für Reformierte Unterweisungsunterricht im Heim durch den Ortspfarrer, sowie alle 2 Wochen Abendandacht"
BE53	BE	Köniz	Mädchenheim Schloss Köniz		Nacherziehung von geistesschwachen, weiblichen Jugendlichen, die straffällig wurden.	3				#REF!	1	0	0	Private, offene Anstalt	2	Inhaber: Verein Mädchenheim Schloss Köniz, Köniz	47	2		47	2		0	1	"Minimal 2 Jahre, maximal 3 Jahre;
nur für Zöglinge, die im Kanton Bern heimatberechtigt sind;
Aufnahmealter minimal 14 Jahre, maximal 20 Jahre"	9	10	14				Private	Fürsorgeämter	Vormundschaftsbehörden	Jugendanwälte des Kantons Bern										"Interkonfessionell;
Leitung reformiert"	3	Reformierter Ortspfarrer im Nebenamt	Freiwilliger Besuch des Gottesdienstes jeden Sonntag
BE64	BE	Iseltwald	Webstübli Iseltwald		"Aufnahme geistesschwacher männlicher Jugendlicher, die unter Aufsicht im Handweben angelernt werden;
Für Gemeindebehörden benutztes Heim für die Internierung von geistesschwachen männlichen Jugendlichen im Sinne des StGB."	3	8			#REF!	1	0	0	Private, offene	2	Inhaber: Familie W. Aeschlimann, Senegg, Iseltwald am Brienzersee	10	1	10		1	Knaben und männliche Jugendliche	1	0	"Minimal 1 Jahr, maximal 10 Jahre,
Aufnahmealter minimal 13 Jahre, maximal 23 Jahre;
Einweisungen nach StGB werden von den andern Insassen nicht getrennt gehalten;
familiär geführtes Heim"	4	9					Fürsorgestellen	Jugendanwaltschaften												Reformiert	1	Reformierter Pfarrer aus Bönigen im Nebenamt	"Besuch des reformierten Gottesdienstes in Bönigen freiwillig;
alle 14 Tage"
BE65	BE	Erlach	Staatliches Erziehungsheim für Knaben		"Erziehung schwererziehbarer Knaben;
Gelegentlich benutzte Anstalt für die Internierung männlicher Jugendlicher nach StGB."	3				#REF!	1	0	0	Staatliche, offene Anstalt	1		58	3	58		1	Alle Plätze können im Sinne von Art. 84 StGB benützt werden.	1	0	"Mindestens 2 Jahre;
Aufnahmealter minimal 7 Jahre, maximal 16 Jahre"	4	10					Jugendanwaltschaften	Vormundschaftsbehörden												Reformiert	1	Reformierter Ortspfarrer im Nebenamt	"Ortsgottesdienst, Besuch obligatorisch;
jeden Sonntag"
BL01	BL	Läufelfingen	Arbeiterkolonie Dietisberg		"Arbeitserziehung;
Zufluchtstätte für arbeitslose, aber noch arbeitsfähige Männer;
Anstalt für administrative Verwahrung wegen Trunksucht, Liederlichkeit, Arbeitsscheu;
Heim für Strafentlassene"	2				#REF!	1	0	0	Private, offene Anstalt	2	Verein Arbeiterkolonie Dietisberg, Diegten-Läufelfingen	65	3	65		1		1	0	Mindestens 1 Jahr	4	5	8	9			Armenpflegen	Eidgenössische Fremdenpolizei	Jugendanwaltschaften	Regierung von Basel-Land	Regierung von Basel-Stadt	Regierung von Aargau	Regierung von Solothurn	Regierung von Schaffhausen	Regierung von Zürich					Interkonfessionell	3	Reformierter Pfarrer von Diegten und katholischer Pfarrer aus Wissen ob Olten, beide im Nebenamt	Jeden Sonntag freiwilliger Kirchgang in die Ortskirchen der Umgebung
BL03	BL	Reinach	Landheim Erlenhof		"Erziehungsheim für schwierige Jugendliche;
Psychiatrische Beobachtungsstation;
Korrektionsaufenthaltsanstalt"	3	6			#REF!	1	0	0	Private, offene Anstalt	2	Verein Basler Webstube, Basel	60	3	60		1		1	0	"Mindestens 1 Jahr, maximal 3 Jahre;
bei Absolvierung einer Lehre, die intern für gewisse Berufe möglich ist, längere Aufenthaltsbedingung vorbehalten;
ausserdem kurzfristige Einweisungen zur Beobachtung"	4	10	14				Private	Vormundschaftsbehörden	Jugendanwaltschaften											Interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	"Jeden Sonntag freiwilliger Besuch der Ortskirchen;
ausserdem Wochenunterricht im Heim durch die beiden Ortspfarrer"
BL04	BL	Liestal	Kantonale Strafanstalt Liestal		"Gefängnis;
Zuchthaus;
Verwahrung;
Arbeitserziehung;
administrative Versorgungen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		126	4			4				Je nach Einweisungsverfügung	1	5					Strafgericht	Regierungsrat für administrative Versorgungen												Interkonfessionell	3	Reformierter Anstaltspfarrer im Hauptamt und katholischer Ortspfarrer im Nebenamt	"Im Hause, Besuch freiwillig;
Reformierte: jeden Sonntag;
Katholiken: 2 mal monatlich"
BL06	BL	Arlesheim	Bezirksgefängnis Arlesheim		"Untersuchungsgefängnis;
Haftgefängnis bis zu 3 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		16	1			3		1	1	"Nach Weisung des Untersuchungsbeamten;
maximal 3 Monate"	11						Statthalteramt Arlesheim													Interkonfessionell	3	Auf Wunsch reformierter und katholischer Pfarrer aus Arlesheim	Keine Gottesdienstmöglichkeit
BL07	BL	Liestal	Bezirksgefängnis Liestal		"Untersuchungsgefängnis;
Haftgefängnis bis zu 3 Monaten"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		10	1			3		1	1	"Nach Weisung des Untersuchungsbeamten;
maximal 3 Monate"	1	7	11				Statthalteramt Liestal	Gerichte	Strafvollzugsbehörde des Kantons											Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BL08	BL	Sissach	Bezirksgefängnis Sissach		Untersuchungsgefängnis	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		4	1			3		1	1	"Kurzfristig;
Untersuchungshäftlinge, die aus der Untersuchungshaft nicht entlassen werden können, werden bis zum Gerichtstermin in das kantonale Untersuchungsgefängnis nach Liestal überführt."	11						Bezirks-Statthalteramt Sissach													Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BL09	BL	Waldenburg	Bezirksgefängnis Waldenburg		Untersuchungsgefängnis	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		3	1			3		1	1	"Kurzfristig;
Untersuchungshäftlinge, die aus der Untersuchungshaft nicht entlassen werden können, werden bis zum Gerichtstermin in das kantonale Untersuchungsgefängnis nach Liestal überführt."	11						Bezirks-Statthalteramt Waldenburg													Interkonfessionell	3	Auf Wunsch reformierter und katholischer Ortspfarrer	Keine Gottesdienstmöglichkeit
BL10	BL	Lausen	Frauenheim Wolfbrunnen		"Nacherziehung lediger Mütter;
Von verschiedenen Kantonen benutzte Anstalt für Massnahmenvollzug nach StGB."	3	8			#REF!	0	1	0	Private, halboffene Anstalt	2	Kommission Frauenheim Wolfenbrunnen, Lausen	21	2		21	2		0	1	"Minimal 1 Jahr, maximal 3 Jahre;
Aufnahmealter minimal 15 Jahre, maximal 30 Jahre;
Eingewiesene nach StGB werden von den andern Insassinnen nicht getrennt gehalten."	9	10	13				Jugendämter	Fürsorgeämter	Vormundschaftsbehörden											Reformiert	1	Reformierter Ortspfarrer im Nebenamt	Jeden Sonntag freiwilliger Besuch des Ortsgottesdienstes
BS01	BS	Basel	St. Verenahof		"Katholisches Heim für schwangere Töchter vor und nach der Geburt ihrer Kinder;
Kinderheim für Säuglinge;
Aufnahme schulentlassener Töchter und Frauen für administrative Versorgung;
Beschäftigung in Küche, Haushalt und Kinderpflege."	3	8			#REF!	0	0	1	Private, geschlossene Anstalt	2	Inhaber: Verein der St. Katharinaschwestern, Basel	63	3		63	2	"40 für weibl. Jugendliche und Frauen;
23 für Kleinkinder"	0	1	"Ohne Limite;
Entscheidung von Fall zu Fall"	4	10					Jugendanwaltschaften	Vormundschaftsbehörden												Interkonfessionell	3	Schwestern des St. Katharinawerkes	Jeden Sonntag obligatorischer Kirchgang in die Stadt
BS02	BS	Basel	Basler Jugendheim		"Nacherziehung schulentlassener männlicher Jugendlicher;
Vom Kanton benutzte Anstalt für Einweisung nach Art. 9 Ziffer 1 StGB.;
Vollständig getrennte Abtheilungen:
a) Jugendheim: Einweisungen nach Art. 91 Ziffer 1 StGB ca. 1/3 des Bestandes und zivilrechtliche Einweisung ca. 2/3 des Bestandes.
b) Aufnahmeheim: Auch räumlich vom Jugendheim getrennt. Aufnahme von straf- und zivilrechtlichen Einweisungen. Vor allem durch Jugendanwaltschaft benutzte Abteilung für die Unterbringung von männlichen Jugendlichen, die in Strafuntersuchung stehen. Verbüssung von Einschliessungsstrafen."	3	5			#REF!	1	0	0	Halbstaatliche, offene Anstalt	3	Patronat: Verein Basler Webstube, Basel	54	3			1	"Jugendheim: 40, nach StGB 16;
Aufnahmeheim: 14, nach StGB 6"	1	0	"Jugendheim: minimal 6 Monate, maximal 4 Jahre;
Aufnahmeheim: nach Verfügung des Jugendstaatsanwaltes, jedoch maximal 3 Monate"	4	10					Jugendanwaltschaft Basel-Stadt	Jugendschutzkammer Basel-Stadt	Jugendstrafkammer anderer Kantone	Jugenschutzkammern anderer Kantone	Jugendanwaltschaft Basel-Stadt									Interkonfessionell	3	Reformierter und katholischer Pfarrer aus der Stadt	Für beide Konfessionen obligatorischer Besuch der Gottesdienste in der Stadt zwei mal pro Monat
BS03	BS	Basel	St. Katharinaheim		"Nacherziehung von schwierigen schulentlassenen katholischen Mädchen;
Von Kanton benutzte Anstalt für Internierungen von weiblichen Jugendlichen im Sinne des Massnahmenvollzugs."	3				#REF!	0	0	1	Private, geschlossene Anstalt	2	Inhaber: Verein der St. Katharinaschwestern, Basel	54	3		54	2		0	1	"Minimal 1 Jahr, maximal 3 Jahre;
Beobachtungsfälle 3 Monate;
Internierte nach StGB werden von den andern Insassinnen nicht getrennt gehalten."	9	10	13				Vormundschaftsbehörde	Jugendämter	Fürsorgeämter											Katholisch	2	Katholischer Anstaltspfarrer im Hauptamt	"Im Hause, Besuch freiwillig;
jeden Sonntag und zwei mal an Werktagen;
ausserdem jeden dritten Sonntag obligatorischer Besuch des Gottesdienstes in der Pfarrkirche"
BS04	BS	Basel	Strafanstalt Basel-Stadt		"Gefängnis;
Zuchthaus;
Administrative Versorgung (Einzelfälle)"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		140	4	120	20	3		1	1	Je nach Einweisungsverfügung	1	8	10				Kantonsgerichte	Polizei- und Justizdirektionen anderer Kantone	Vormundschaftsbehörden											Interkonfessionell	3	"Reformierter Anstaltspfarrer im Hauptamt;
katholischer Anstaltspfarrer im Nebenamt
"	"Im Hause, Besuch freiwillig;
Reformierte: jeden Sonntag, ausserdem Abendzusammenkünfte;
Katholiken: jeden Sonntag"
BS05	BS	Riehen	Anstalt zur Hoffnung		"Schulung und Erziehung von geistesschwachen Kindern und Jugendlichen;
Vom Kanton benutzte Anstalt für Massnahmenvollzug nach StGB."	3	8			#REF!	1	0	0	Staatliche, offene Anstalt	1		110	4			3		1	1	"Minimal 1 Jahr;
Aufnahmealter minimal 5 Jahre, maximal 18 Jahre;
Eingewiesene nach StGB werden von den andern Insassen nicht getrennt gehalten"	10	13					Jugendstrafkammer Basel-Stadt	Jugendamt Basel-Stadt	Vormundschaftsbehörde Basel-Stadt											Interkonfessionell	3	Reformierter und katholischer Ortspfarrer im Nebenamt	Obligatorischer Besuch der Ortsgottesdienste
BS08	BS	Basel	Heil- und Pflegeanstalt Friedmatt		"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für Internierungen von Unzurechenfähigen nach Art. 14/15 StGB."	6				#REF!	1	1	1	"Staatliche Anstalt;
geschlossen/halboffen/offen je nach Gesundheitszustand der Patienten"	1		550	6	350	250	3	ca. 15 nach StGB	1	1	"Nach behördlicher, resp. Ärztlicher Verfügung;
Internierte im Sinne des StGB. (ca. 15) werden von den anderen Patienten nicht getrennt gehalten."	7						Justizdepartement Basel-Stadt													Interkonfessionell	3	"Reformierter Anstaltspfarrer im Nebenamt;
katholischer Anstaltspfarrer im Nebenamt"	"Im Hause, Besuch freiwillig;
Reformierte: alle 14 Tage, Katholiken: alle 14 Tage;
ausserdem für einen Teil der Patienten Möglichkeit zum Besuch des Gottesdienstes in der Stadt"
BS09	BS	Basel	Lohnhofgefangenschaften Basel		"a) Untersuchungsgefängnis;
b) Vollzug von Arrest- und Haftstrafen bis zu 30 Tagen;
c) Vollzug von Gefängnisstrafen bis zu 3 Wochen"	5				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		125	4	105	20	3		1	1	"a) ohne Limite;
b) maximal 30 Tage;
c) maximal 3 Wochen"	1	2	7	8			Polizeiorgane	Untersuchungsrichteramt	Polizeigerichtspräsident	Strafvollzugsbehörde	Strafgericht	Justizdepartement	Polizeidepartement							Interkonfessionell	3	"Reformiert durch den Strafanstaltspfarrer im Hauptamt;
katholisch durch den Anstaltsseelsorger im Nebenamt"	Keine Gottesdienstmöglichkeit
FR01	FR	Sugiez	Les Etablissements pénitentiaires de Bellechasse		"Gefängnis;
Zuchthaus;
Verwahrung;
Arbeitserziehung;
Administrative Versorgung;
Versorgung von Gewohnheitstrinkern;
Versorgung und Verwahrung von Unzurechnungsfähigen;
Abteilung für Internierung von männlichen Jugendlichen (Erlenhof)"	1	3	4	5	#REF!	0	1	0	Staatliche, halboffene Anstalt	1		460	6	410	50	3	"Bellechasse: ca. 360 Männer, ca. 50 Frauen;
Erlenhof: ca. 50 männliche Jugendliche"	1	1	Nach Verfügung	1	6	7	8	10		Gerichte	Vormundschaftsbehörden	Administrativbehörden	Justiz- und Polizeidirektionen	Justiz- und Polizeidirektionen									Interkonfessionell	3	"2 katholischer Anstaltspfarrer im Hauptamt;
1 reformierter Anstaltspfarrer aus Fribourg im Nebenamt;
Heilsarmee"	"Im Hause, Besuch freiwillig;
Katholiken: jeden Sonntag;
Reformierte: 1 mal monatlich deutsch, 1 mal monatlich französisch, 1 mal monatlich durch die Heilsarmee zweisprachig;
ausserdem für jede Konfession durch ihren Anstaltspfarrer monatlich 2 mal Werktagszusammenkünfte"
FR02	FR	Marsens	Etablissement psychiatrique de Marsens		"Heil- und Pflegeanstalt;
Vom Kanton benutzte Anstalt für die Internierung von Unzurechnungsfähigen nach Art. 14/15 StGB."	6				#REF!	0	0	1	Staatliche, geschlossene Anstalt	1		485	6			3	Männer und Frauen	1	1	"Nach ärztlicher, resp. Behördlicher Vorschrift;
Internierte nach StGB werden von den andern Patienten nicht getrennt gehalten."	6	7					Strafvollzugsbehörden	Administrativbehörden												Interkonfessionell	3	"Römisch-katholischer Anstaltspfarrer im Hauptamt;
reformierter Pfarrer aus Bulle im Nebenamt"	"Im Hause, Besuch freiwillig;
Katholiken: jeden Sonntag;
Reformierte: alle 2–3 Wochen"
